tweet_id,clean_text,brand_reply_text,silver_intent
44239,i’m trying to transfer local files from my macbook air with macOS sierra version 10.12.6 to my iphone 7 with ios 11 and spotify version 8.4.28.1104,"@125830 Thanks for sending those details. Can you try reinstalling the app on both devices using the steps here: https://t.co/EqisDMwZAT? Afterwards, try syncing your local files to your phone by following the steps at https://t.co/SgMwFS1ONz. Let us know how it goes /AK",device_platform
44404,My laptop runs on Windows 10 and my Spotify is the latest update,@125853 Thanks for the info. Does reinstalling the app on both devices help at all? You can follow the steps here: https://t.co/EqisDMwZAT /MT,device_platform
44405,"I have a Samsung S7, Android 7.0 and the latest version of the Spotify app",@125853 Got it. Could you also get back to us with the OS and Spotify version you're using on your computer? /MT,device_platform
48087,"Tried that, totes doesn't work. When I play from mobile OR desktop, I can't drag the currently playing song...","@126752 Thanks for giving it a shot. We're afraid it's not currently possible on Mac. Don't worry, we'll pass on your feedback to our devs /AY",playback_issue
48089,Mac / OSX 10.11 + 1.0.63.617.g5aca9a2a and IOS 11 + spotify 8.4.18.632 https://t.co/mdW5xnhS3T,"@126752 Got it. Can you try logging out, restarting your devices, then logging back in? Let us know how it goes /JE",device_platform
48110,"no, it's working as intended cutting from the last manson album to an endless stream of ""suggested songs"" of bland shitty metal #thanks",@126758 You can try adding more artists into your playlists to reduce the number of Suggested Tracks you get. We hope this helps! 😉 /MS,playback_issue
48134,No updates. I have downloaded it 6 times in a year. A lot of my fellow Mac users have the same issue.,"@126763 Got it. Can you let us know your MacBook's OS version? Also, do you recall anything you've changed before it usually happens? /QI",device_platform
51765,"Obviously they don't work. found workaround: Sort albums/artists by ""name"" then go back to ""songs"" &amp; shuffle again. THIS IS NOT IMPROVEMENT!","@127639 Thanks for letting us know. Rest assured, we'll definitely be passing your feedback on this to the right team! /CB",playback_issue
52347,"Yes, the whole City Bank ad played and I waited and then heard one song and then got multiple afterwards.",@127775 That's strange. We'll get this passed on to our devs so they can look into it. Give us a shout if you need anything else /JX,playback_issue
53130,"Seems to me u label music with a sexual preference, which is odd, and that music in turn with a user. Feels very inappropriate and not pc.","@124332 We're sorry you feel that way, and rest assured that's not the case. We've let the right folks know how you feel about this /Q",device_platform
53684,The past 2 days. Laptop. Spotify Premium. Newest desktop update.,@128140 2: You can find this info by going into Help &gt; About Spotify. We hope that hear from you soon with this info! /CB,premium_billing
53714,Can I use Paypal linked to my UK bank account?,@128146 Does your PayPal account meet the requirements at https://t.co/3c3EcbDUkG? /AP https://t.co/ldFdZRiNAt,account_login
53730,ios version 8.4.25 and ios 11.0.3,@128149 Got it. Does logging out and back in help? Restarting your device (hold Sleep/Wake + Volume Down for 10 seconds) is also worth a shot /LP,device_platform
53732,iphone 7plus and ive got the newest version of spotify,"@128149 Thanks. We're almost there, but we need the exact iOS and Spotify versions you have installed on your phone. We'll be right here waiting /LP",device_platform
54529,"iPhone 6s Plus, iOS 10.3.2, and the most recently updated version of Spotify",@128354 Got it. Can you try to see if logging out &gt; restarting your phone &gt; logging back in to your account makes a difference? /DV,device_platform
56073,Brett Eldredge: ‘Wanna Be that Song’ was removed from my library &amp; is no longer available to download,"@128727 Can you send us the Spotify URI? Just right-click the track &gt; Share &gt; URI. Also, what country is your Spotify account set to? /BE",playback_issue
57063,Tried that but none of it works. Album is Modal Soul by Nujabes in mp3 format. I can see the files in spotify but they just wont play.,"@128930 Hmm. If possible, can you check if the same thing happens when using other devices? /JE",playback_issue
57064,"PC, Windows 10 - I guess the version is ""1.0.66.478.g1296534d"" (that's all I could find in the about spotify bit)",@128930 Thanks. We'd suggest checking our support page at https://t.co/Qv6svydfvz for more info. Hope that helps /JE,device_platform
58937,"Everything is up to date. Clearing the cache  reduced the length of the freezes, but they still happen. Getting about 60-100 logged errors per freeze.  Thanks!","@129423 Gotcha. Does logging out, restarting your device, and logging back in help at all? Let us know how it goes /JE",app_technical
58945,The 2nd track follows the 1st on album &amp; has similar title but should sound like comical screaming backed w/ circus music &amp; be much shorter,@129425 Gotcha. We'll be sure to get this reported. Great detective work! 🔍 https://t.co/LpsmyUtme0 /JE,playback_issue
59697,"Thanks for the link but it wasn’t helpful, every other streaming service has the song available. It’s only that track, the rest are there.","@129639 2: Thanks for sharing your thoughts, we'll pass it on to the relevant folks /SY",playback_issue
61172,"So no, I haven't logged into the web player with incognito or private browsing",@130006 Gotcha. Try giving it another go using an incognito window of your browser to avoid any cache-related issues. Let us know how it goes /SY,device_platform
62345,"Sure! This is the song link, and I’m in the US. https://t.co/uGIDKCKlH1 Glad I could help",@130286 We can confirm that the track is longer available. Logging out and back in should refresh the app. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /YM,playback_issue
64379,I am the owner of a family Spotify account.  There are four of us who live in the same house. Only two can activate....,@130777 That doesn't sound cool. Could you DM all your accounts' email addresses? We'll check backstage /GK https://t.co/ldFdZRiNAt,account_login
67675,Tried this. Couldn't find the com.Spotify file anywhere on my phone. Reinstalled  and now it just won't open at all. https://t.co/U2KYQuBoeg,@131454 Hmm. Does restarting your device help at all? Can you try clearing your cache? Keep us posted /PL,app_technical
67677,Samsung S6 Android 7.0 Spotify version 8.4.28.875,@131454 Thanks for the info. Can you try the steps here for us: https://t.co/PDA2aKzC6Q? They should help with this. Let us know how it goes /JI,device_platform
67679,"Tracks constantly skipping, jumping. Doesn't matter whether I'm on 4G, WiFi, whether tracks are downloaded or streamed. About a month now.","@131454 That doesn't sound right. Could you let us know what device, operating system, and version of Spotify you're using? /JT",playback_issue
70694,"hello - iphone7, ios 11.0.3, spotify 8.4.28.1104,   it is exactly the same issue raised on your help desk by someone else here - https://t.co/fpjMnrEIMN",@131856 We understand. Are you getting any error messages when it happens? Does logging out &gt; restarting the device &gt; logging back in help? /PL,device_platform
72086,I wanted you to know that I don’t pay for music.,@132184 No worries. You could still enjoy Spotify while on our Free service. More info here: https://t.co/DDxx570cXi. Hope this helps /MU,premium_billing
73729,Only just saw this reply. It was both on my phone (android nexus 5x) and laptop (macbook pro). Tried multiple networks too. But it seems to have resolved itself now. Thanks anyway!,@132493 That's great to hear! Let us know if there's anything else we can help you with. Have a... https://t.co/fOHcTvQJC3 💚 /JP,device_platform
77718,I have solved the problem. Spotify Artists would not work with Safari browser - works fine with Google Chome....,@133322 Great to hear it! We've just replied to your DM with a little more info. We'll carry on chatting there /K,device_platform
79404,Hi started the 99p for 3months deal and I’m not on premium when I sign in?,@133626 Hi Lenny! We've just sent you a bit more info over DM. We'll carry on helping out there 🙂 /MA,premium_billing
79452,I haven’t had premium before but can’t get it as it say unable to do via a virgin phone.,@133632 We understand. We're afraid that it isn't possible to sign up for the offer via your mobile phone bill. We'd suggest using either a payment card or PayPal. Hope this helps /MU,premium_billing
83665,It doesn’t let me click the filter bar when editing my playlist and there is no option in the (...) next to the song that says delete,"@134385 Hmm. Just to check, does the filter not allow you to enter any text at all? Can we also have you send over a screenshot of the options available to you once the (...) button has been selected? We'll see what we can suggest /JI",playback_issue
86365,"Hi! It's not that having the ads themselves is unbearable, it is the ads themselves that will drive up ur premium sales #amazingwork","@134856 We're sorry you feel that way. We appreciate your feedback on this, and we'll be sure to pass it on to the right folks. Let us know if we can help with anything else. We're just a tweet away /LM",premium_billing
86409,"it's a shame! It's not even like I need an ""inbox"" just being able to send a song through spotify would be so cool. But anyway! Thanks so much for replying &lt;3 X","@134869 Don't worry, your thoughts won't fall on deaf ears. Have a https://t.co/fOHcTvQJC3 💚 /LP",playback_issue
89457,"Samsung Galaxy S7 (SM-G930T), Android version 7.0, Spotify version: 8.49.289 armV7",@135360 Got it. Can you check if logging out &gt; restarting your phone &gt; logging back in to your account makes a difference? /DV,device_platform
89470,"Hi, after the latest android update I can't control my Sonos through the Spotify app, but works fine from the Sonos app. The speaker is shown in the list, but nothing happens. I have already tried restarting everything, reconnecting to WiFi, and reinstalled the app, but no joy.",@135361 Hey Sean! Can you let us know the specific Spotify and Android versions you're using? We'll see what we can suggest /NG,device_platform
89535,"Thanks for response! The app says that music is playing, but no sound comes out. I have to restart to make it work again.",@135367 Gotcha. Can you try reinstalling the app using the steps here: https://t.co/PDA2aKzC6Q? Let us know how it plays out /LM,playback_issue
89554,Unfortunately it’s giving me an error when I try to uninstall as well /:,@135370 Hmm. Can you send us a screenshot of the error message you're getting while reinstalling the app? We'll see what we can suggest /KB,app_technical
93867,"iPhone 8plus, iOS 11.1.2, 8.4.28.1104","@136356 Thanks. Just to check, is this happening on all your downloaded songs or just your Albums? /XF",device_platform
95821,Is this for every song and artists or only the artists? I see only a karaoke song. I want the whole song it's a remember to are grandmother,"@136861 We hear you. We do our best! But sometimes agreements are ongoing, or can't be reached with the content provider. Be sure to stay tuned /TX",playback_issue
95839,"What I’m asking is, how can I find the other, older versions (e.g. if I didn’t already have them saved). istr there used to be an “x more release(s)” link at the bottom of the track listing page for an album, but in this case I can’t find it. 2/2","@136867 Thanks for clearing that up. The feature is currently unavailable, but we hear you 🎧 Rest assured, your feedback will be passed on to the right folks /QI",playback_issue
97674,"Yes, I'm still having this issue, I can't log in with my spotify account but I can log in with my Facebook account.",@137386 Sorry to hear you're still having troubles. Does restarting your device help at all? Keep us posted /VV https://t.co/ldFdZRiNAt,account_login
100164,"All tracks. Windows 7, Chrome web player","@137955 Thanks! Just to check, have you tried using a different network? Sending us the versions of the Google Chrome and Spotify app you're rocking would be helpful /FJ",device_platform
102204,i'm using the web player on the website on windows 7 64 bit. i also tried logging out and back in and that did nothing.,@138414 Hmm. That's odd. Could you try uninstalling and reinstalling the app? Let us know how it goes /DF,device_platform
102212,I already tried a different browser and now I just tried incognito. No difference. Still frozen.,@138416 Got it. Can you try restarting your device and see if that helps at all? Keep us posted /AG,device_platform
102215,"A day later, computer turned off overnight, and it's still frozen on the same song. The player isn't responding to any clicks.","@138416 We appreciate your updates. If you're using WiFi, can you try restarting your router as well as your device? We'd suggest turning it (router) off, then wait 10 minutes before turning it back on again. Let us know how it plays out /AG",playback_issue
102231,"Yeah, it kind of went away by itself. I got a bunch of TOO MANY REDIRECT errors when I was trying to log in, but it resolved itself after an hour or so. Maybe you had some temporary, localized server issues. Anyway, I'm happy again. 😊","@138424 Awesome! We're glad everything's working fine now. If you ever need us again, just give us a... https://t.co/AUc7DGJpgF 🙂 /AR",account_login
104104,Version 8.4.29.289 on Android Oreo 8.0.0,"@138951 Got it. Can you try to log out of your account &gt; restart your device &gt; and log back in to see if it helps? If you can reply with the exact make and model of your device, that'd be great /HR",device_platform
104131,I know. I've been a premium subscriber for so many years and have never gotten any deal. It's the way cookie crumbles but don't I just think it's wrong.,"@138957 Sorry to hear you feel that way. We don't have any specific info to share, but we'll be sure to let the right team know it's something you'd like to see. For anything else, we're just a tweet away /JE",premium_billing
106312,"For me, as soon as I logged in it would log me out (in Chrome). I switched to Firefox and was able to log in. Makes me think something is cached weird.",@139556 Hi Will! Can you trying clearing your Chrome browser's cache/cookies? Let us know if that makes a difference /RH,account_login
106319,"appropriate under the circumstances, e.g., by displaying a prominent notice within the Service or by sending you an email.",@139557 Thanks for taking the time to reach out. Your feedback's been noted and will be passed on to the right team. Stay cool /AQ,account_login
106331,Not on my desktop right now. But it's Windows 10. And app tries to start and then shuts down after seconds.,"@139560 Thanks for letting us know. Best thing to try here is a reinstall. When you get the chance, just follow the steps here: https://t.co/5rTl0ob08l. Let us know how it goes /JY",device_platform
106335,"Hey DF, Chrome V62 on a Mac. I didn't write down the ads, but three consecutive ads disabled the volume (stays grey on hover), and when music resumed playing the volume became active again (green and interactive on hover).","@139561 We hear you! Rest assured your feedback has been passed onto the right team. For now, check out https://t.co/Gp5xcUoTsa if you haven't had a subscription before. Let us know if you need anything else /AV",device_platform
110053,"Hey. Just managed to try this and it resulted in the same behaviour.  Spotify audio muted.  When gif stops, Spotify didn’t kick back in.  Spotify shows as still playing, but no audio.  Have to kill and restart Spotify.",@140436 Thanks for trying that out. We've just sent more info via DM. We'll carry on helping out there /MU,playback_issue
110054,Cheers 👍🏻 iPhone 7+ running iOS 11.2 Spotify 8.4.28.1104,"@140436 Got it. We'd just like to make sure we're covering all the bases, so bear with us. Could you log in to our test account to check if the same thing happens? Just enter ""cs_test_family_1"" as the username and ""123spotify"" as the password. Keep us posted /JE",device_platform
110106,"Hi I'm on a Samsung S7 Edge, Android 7.0 and Spotify version 8.4.28.875 armV7. Thanks",@140446 Thanks for that info. Can we have you check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this. Let us know how it goes /JI,device_platform
110121,I haven't made an account yet. I want to check that when I become a student I won't have to continue paying full price.,@140451 Gotcha. The info here should help: https://t.co/WxWVAhamEi. Let us know if you have any other questions /CX,account_login
111975,Why can’t I delete a song from a radio lost all together? The dislike button isn’t there for all songs.,@140869 We can see how that’d be useful! You can vote for the official idea here: https://t.co/Qpm2mg3U37 /MX,playback_issue
111979,"Thank you, But I listened to every song of Taylor Swifts waiting for the album and now I know the lyrics to every song on every album. Anyway.....so basically I just have to keep checking the new releases every friday","@140870 Great to hear. We don't have any further info on this right now, but we'll be sure to let the right team know it's something you're excited to see /JI",playback_issue
113814,"I want A ""mix-button"" so the songs mix in your playlist. It's very tuff to change all the song by your shelf. It takes a long time.","@141280 Got it! If you're on Premium, you can play your awesome tunes randomly by turning on the shuffle button. Check out this link on how to find it, and more ways to play your awesome tunes: https://t.co/Um7DQ7RV6o. Hope this helps /LS",playback_issue
113841,"okay, thanks. How do I cancel my subscription? Is this possible each month, or is it per year?",@141285 No problem. Canceling the subscription can be done anytime. Can you also let us know your account's username or email address? We'll see what we can suggest /DN,premium_billing
115221,Thanks JK. It's saying incorrect username and password. I've not changed my password at all though. I can only assume my account has been compromised in some way?,"@141620 We’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next. If you need anything else, let us know /JK",account_login
115235,Android 7.1.1 Spotify 8.4.28.875,@141622 Thanks. Can you send us a screenshot of what you see? We'll check it out /NY,device_platform
115273,"but people have Netflix account without living at same address,didn't give me a real reason?","@141626 The T&amp;Cs were set in place to make sure only your family members enjoy the Premium features. We don't have any more info on this right now, but we'll let the right team know that adding members in a different address is something you'd like to see /QI",account_login
116587,Hey! I wasn’t asking for myself but for someone I’m trying to hook up to Spotify as I am. (: So if they go Premium now will they have it until the end of Dec or for 3 full months?,@141975 That's great! They will have Premium for the full 3 months. We'd suggest subscribing before the 31st of Dec 2017 to take advantage of this offer. Let us know if you have any other questions /GU,premium_billing
118870,Yes. So many times. What’s the point of paying for premium if you’re just going to keep deleting my music?,"@142355 We understand where you're coming from. For now, we'd suggest removing your offline devices at https://t.co/8WYo44m758, then reinstalling the app once more. That should help prevent this from happening again /RH",premium_billing
118902,"I've submitted several support requests over the years, usually the only remedy is resyncing thousands of songs after you guys finally fix whatever bug is blocking me from using the features I pay for. This is a waste of my time (and your bandwidth).",@142363 Apologies for the inconvenience. Could you try reinstalling the app and re-syncing your local files? You can follow the steps here: https://t.co/EqisDMwZAT /MT,premium_billing
118907,Could you try adding more an error message when a file wont play? Could you try building in a way to resymcing specific files?,"@142363 Thanks for the feedback. Not to worry, we'll make sure it's passed on to the right team. To make sure we're on the same page, did reinstalling the app help you in playing your local files on your iPhone X? /MT",playback_issue
118905,"iOS 11.2.2, Spotify 8.4.28.1104",@142363 Thanks for the info. Does logging out &gt; restarting your device &gt; logging back in help at all? We'll be on the lookout for your reply /MT,device_platform
122089,I’m sorry but what do you guys mean??? I just posted the song I was listening to??,@143213 We understand the frustration. Fingers crossed we'll be able to have it available again soon. Let us know if you need anything else /DI,playback_issue
123464,"But this still doesn't explain it.  I can find it through the web player and from Google which takes me to the album on the app, so the album is there.  However, if I look for the album by searching in the app for it, it's not.  That tells me the search function is different. ?",@143583 The album isn't searchable because some of its songs aren't available on Spotify. Hope this clears things up /NS,device_platform
123477,Nope. No crash. Just the same 3 ads on repeat.,"@143587 Thanks for confirming! Just to check, did you definitely watch the video ad that grants you 30 minutes ad-free listening in full after hearing the offer /RB",app_technical
124129,"Given the fact the email associated with my account was already out to the public on a popular website before this conversation began, I'd say it doesn't matter. Also, what does it matter that I DM it now? You've already got the email.","@143763 Sorry to hear that. We see where you're coming from, but we'd still suggest deleting that tweet for security. Also, we can't discuss anything that might be account-related on a public thread. Would you mind sending it through DM? /RH https://t.co/ldFdZRiNAt",account_login
124831,im on desktop and it just won't let me select the song to play. its a bit grey and doesn't do anything when i click it,@143962 We understand. Can you send us the title of the track? We'll be waiting /AK,playback_issue
128170,i have PHP 25 on paypal pls stop asking for my credit card info even tho i dont have one,"@144794 Are you getting any error messages whenever you try signing up using PayPal? If so, a screenshot of it will be very helpful /MA",playback_issue
128868,"Thanks for replying (and so quickly!). In case your development team wonders why, it’s because running an iPhone in Japanese is the only way to get names in Contacts to sort by kanji rather than just putting everything under #",@144991 Got it. We appreciate all your feedback! We'd also suggest voting for the idea at https://t.co/JZpEtVeV4A /KA,device_platform
131807,sure it is windows 10 Home and app version is 1.0.67.582.g19436fa3 (Windows Store version),"@145719 Thanks. While on the app, can you try pressing Ctrl + 0 (zero) on your keyboard? Is it better now? /MU",device_platform
136269,Tried logging-in and out a few times. Does it regardless of amount of cached tracks. iPhone 6 and SE. iOS 9 to 11.,@146710 Thanks. Could you try doing a soft reset on your device? Does that make a difference? /GK,device_platform
140094,"The one thing I'd really, really, really like is the ability to drop a song from the mix. That way I can enjoy the rest on repeat shuffle. Would be a nice feature",@147607 This sounds like a great idea! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users 🙂 /BP,playback_issue
141134,Its so unfair!! The promo is for VISA cardholders only. 😑 How about us? Stop broadcasting incomplete details!,"@147828 Hey Tope. Sorry for the confusion. The promo offer is eligible for anyone with a recurring form of payment, not just VISA. You can see more info about our accepted payments here: https://t.co/RywgYiE2hX. We hope this helped clear some concerns /AL",playback_issue
142170,"yes. if i close the app it will stop the music, snapchat will stop it, and text messages will also stop.",@148080 Got it. Let's try reinstalling Spotify following these steps:https://t.co/3FU57oyTNJ. Let us know how it goes /JI,playback_issue
142172,"im on iphone 7, and IOS11 and version 8.4.28","@148080 Thanks for that info. Does logging out, restarting your device, and logging back into Spotify help? Keep us posted /JI",device_platform
142986,"The info are the same from months, probably you aren't interested what more than 2.000 iOS spotify users think..","@148281 Sorry you feel that way. We''ll be sure your feedback reaches the right team. Anything else, let us know /NY",device_platform
145911,I'm finally able to stream! Thanks for the reply!,"@149092 Fantastic news! If you need us for anything else, we're just a tweet away. Enjoy the music 🎶 /LS",playback_issue
149375,Hi. The problem (pixelisation after minimize under Windows 7) even with version 1.0.67.582.g19436fa3 is still there. 😟,"@150039 Hi there! That doesn't sound good. Does logging out of the app, restarting your device, then logging back in help at all? /QI",device_platform
150657,"Those of us that have had premium for years now, do we not get any special offers? :)","@150371 Right now, this offer's for new subscribers only. Stay tuned for more deals for existing Premium subscribers, though 🙂 /KM",premium_billing
160522,I can't even get the web player to work on my macbook pro. Aside from myself and coworkers it appears there are others in your community posting about the same thing https://t.co/OaUm3mg5cC,@152980 Did you notice if the issue started happening after a specific update? /PL,device_platform
160527,Sure. Both my macbook pro and mac desktop experience the same issue with that.   High Sierra 10.13.1,"@152980 Thanks for that info. Does logging out, restarting your device, and logging back into Spotify help? Keep us posted /JI",device_platform
160559,"Chrome on PC. But...of course now that I got a hold of you, it plays! LOL Thanks for reaching out, you guys.","@152991 Great to hear you're all set! Let us know if you need us for anything else. Just give us a shout, and we'll come running 🏃 /LS",device_platform
163738,notifications still stop my music so i have to force quit the app and play the song back over.,"@153882 Just to check, do your notifications have sound? Also, can you let us know which app's notifications you're getting? We'll see what we can suggest /MU",playback_issue
166637,"Thanks for getting back to me. My question is - when you ""shuffle"" a playlist is it truly random?  For at least the past year it feels like the same songs keep coming up even though there are over 2k on the playlist.","@154709 No worries. We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: https://t.co/T3vZnSL3od. If there's anything else, just give us a shout /PC",playback_issue
168122,RCA Voyager 2 tablet (Android ),@152999 Hey there! Could you try uninstalling and reinstalling the app? Let us know how it goes /DF,device_platform
169686,"I am also experiencing this. No matter what track I click, nothing loads or plays. Already tried un- then re-installing. So not just you Jouni.","@155520 Hey there! If you'd like us to have a look, just let us know what device, operating system, and Spotify version you're using /RB",playback_issue
169718,IPhone 7. Very odd? Consistent tonight. As per your request deleted old version &amp; updated to new one?? Same issue. Maybe local to the phone but bloody awful to sort out playlist when pissed ✋🏼✋🏼👀👀,@155528 Got it. Is this issue happening on other devices? You might need to do a soft reset by turning your device off and on. Keep us posted /AV,device_platform
169720,"Done a turn on/off. Done a reinstall, same problem? https://t.co/t2ZjWNesor",@155528 Got it. Can you try changing your iPhone's font size to a smaller on by following the steps found here: https://t.co/bTBqQk9k1p? Let us know if that helps /QI,app_technical
171087,it is necessary to clear the cache,@155909 Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team /LO,app_technical
172448,"OSX High Sierra -&gt; Spotify 1.0.68.407.g6864aaaf -&gt; Onkyo NR-656. Once I set Spotify to send to ""This computer"", scrobbling seems to work as Last.fm reports ""Scrobbling now"" then. Does not happen when Onkyo is receiving the sound.","@156298 Sorry to hear that. It's not possible at the moment, but you can help make it happen by showing your support here: https://t.co/BPEq9CIxJ8 /MG",playback_issue
172478,"Hey thanks for the reply! iOS 11.1.2, Spotify 8.4.28.1104  Looks like this is the breaking point for the UI (everything below that size seems fine but I didn’t do a thorough QA): https://t.co/asCDrMIHKd","@156307 We'd suggest logging out, closing the app, and restarting his phone before adjusting the font to the largest configuration. Let us know how it goes /MG",device_platform
172486,", This is clearly not an account issue. It's a design issue. This is a bug that needs needs to be address so the app will be accessible to users who need larger type.","@156308 Hey Lauren, thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /KC",account_login
172519,I'm using Spotify v8.4.28.875 armv7 on my stock Android 7.1 phone.,"@156320 Got it! Just to check, have you followed all the steps at https://t.co/WDXVuJV0dh? /RA",device_platform
173602,"Unfortunately it was on mobile and isn’t showing up in the recently played or play queue history. This is so extreme, but is there a way to pull history from certain time periods? Like 11-22-2017 between and 5:00-8:00EST?","@156645 We're afraid this is something we can't do at the moment, but we see how that could be handy. We'll pass your suggestion on to the right folks. For now, let us know if we can help with anything else /TK",playback_issue
79410,When will you be able to stream the new Taylor Swift?,"@156648 Hi there! We’ll have it available to you as soon as it’s available to us. For now, check out the singles: https://t.co/3h0TnPWP0c 🙂 /GN",playback_issue
174970,iOS 11.1.2 and Spotify 8.4.28.1104,"@157052 Thanks. Does logging out, restarting your device, and logging back in make a difference? /LO",device_platform
181529,"I have had eactly the same issue on iphone ios 10.3, app 8.4 and ipad ios 9.3, app 8.4","@158649 Thanks. By the way, do you play directly through the speakers of your iPhone/iPad or stream to a partner device? /JU",device_platform
181682,"Ah, on by default and sneakily hidden under ""advanced settings"". I've switched it off. You should put it ""off"" by default, and make it enablable by the same Operating System level of configs which allows any mac app to be opened on startup.","@158686 We understand, and we appreciate the feedback! We'll pass it on to the relevant folks. Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /GS",device_platform
184173,Galaxy S7 and 8.4.25.771 play store says there is no update required at this time,@159340 Thanks. Does logging out &gt; restarting your device &gt; logging back in help? /AN,playback_issue
184178,#Android #app. Updated to latest version both app and phone,@116387 Thanks for confirming. Your feedback has been noted and passed onto the team. We appreciate it! /GS,device_platform
184232,The problem subsided after I turned wifi off on my phone. Guessing the signal interfered with Bluetooth,"@159354 That's possible. For now, we'd suggest turning off WiFi whenever you stream via Bluetooth in your car. Anything else, just let us know /DN",device_platform
184233,"No error message, just random skipping while playing in the car.","@159354 Hmm, that's odd. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /MQ",playback_issue
