id,customer_tweet_id,customer_text,brand_tweet_id,brand_reply_text,source,heuristic_bucket,difficulty_hint,has_brand_reply_visible_resolution,sampling_stratum,gold_intent,has_visible_resolution,gold_decision,gold_decision_reason,difficulty_tier
gs_0010,914671,Help @116130 ! My tracks only play for the first 2 seconds with no sound! Regardless of using WiFi or data :(,914670.0,"@337207 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",recovered,playback_issue,easy,True,playback_issue,playback_issue,False,auto_handle,tracks stop after two seconds with no sound; needs troubleshooting to identify the cause,hard
gs_0011,228065,@SpotifyCares This is the 4th or 5th time I've noticed that this particular song is next in the queue when the app freezes. https://t.co/vRcm1VRcZy,228067.0,@170378 Is this happening on a specific playlist? Can you try removing this track wor a while and see if things will be better? /JP,original,playback_issue,easy,True,playback_issue,playback_issue,False,auto_handle,app freezes when a particular track is next in the queue; needs troubleshooting to identify whether the track is causing the freeze,hard
gs_0012,463558,I’m so fucking annoyed. Every god damned time I try and listen to @115888 on my computer it fucking freezes. Well fuck you too then 🖕🏻🖕🏻@129941 doesn’t do this shit to me...,463557.0,@225208 Hey Ashley! Can you let us know the device/OS and Spotify version you're using? We'll see what we can suggest /AR,recovered,playback_issue,easy,True,playback_issue,playback_issue,False,auto_handle,"Spotify freezes on the computer during playback; needs device, OS, and Spotify version details for troubleshooting",hard
gs_0013,916069,@115888 ever since I ended my sub with you I can't play music through the app anymore. What gives ?,916067.0,"@337501 Hi Laura! Help's here. Can you let us know your device, operating system, and app version? We'll see what we can suggest /MU",recovered,playback_issue,easy,True,playback_issue,playback_issue,False,auto_handle,"music stopped playing after subscription ended; needs device, OS, and app version details for troubleshooting",hard
gs_0014,1508835,"@SpotifyCares Frequently freezes mid-song. Sometimes for a few seconds, Sometimes for as long as a minute. Pause and play commands take up to 40 secs",1508837.0,@470221 Got it! Could you try uninstalling and reinstalling the app? Let us know how it goes /DF,original,playback_issue,easy,True,playback_issue,playback_issue,False,auto_handle,playback freezes mid-song and pause/play commands are delayed; reinstalling the app is a standard troubleshooting step,hard
gs_0015,1435271,@SpotifyCares I did already and it‘s still not working.. I also deleted the app and downloaded it again but it still doesnt play the songs..,1435273.0,@453243 We understand. Our best tech folks are on the case as we speak. Hopefully we'll have a fix soon! /PB,original,playback_issue,easy,True,playback_issue,playback_issue,False,escalate,playback issue persists after reinstalling; already tried standard troubleshooting and requires technical investigation,hard
gs_0016,1846230,"@115888 won’t play playboy shit by @331366 and if that isn’t a reason to stop using it, idk what is.",1846229.0,"@552994 Hey, help's here! Could you DM us your email address, username, and the device you're using? We'll check backstage for you /BX https://t.co/ldFdZRiNAt",recovered,playback_issue,easy,False,playback_issue,playback_issue,False,escalate,specific song is unavailable; requires account and device investigation,hard
gs_0017,1648673,"@SpotifyCares The name of the song often freezes, making overlapping song titles. And every so often, when using the app on XB1 it won't even play 1/2",,,original,playback_issue,easy,False,playback_issue,playback_issue,False,auto_handle,"song titles freeze and overlap, and playback sometimes fails on Xbox One; needs technical troubleshooting",hard
gs_0018,1265652,"w h y don’t my play/pause/skip buttons work on @115888 @spotifycares anymore 😩 thx, high sierra",1265651.0,"@400362 Hey there! Can you let us know what device, operating system, and Spotify version you're using? We'll see what we can suggest /NS",recovered,playback_issue,easy,True,playback_issue,playback_issue,False,auto_handle,play/pause/skip controls are not working on High Sierra; needs device and app version details for troubleshooting,hard
gs_0019,1172338,@SpotifyCares having problems where I play songs off of my playlist and it skips like it interrupts the song any idea what might be wrong?,1172336.0,"@164928 Hi there, the cavalry's here! Can you let us know what device/version of Spotify you're using? We'll see what we can suggest /JI",recovered,playback_issue,easy,True,playback_issue,playback_issue,False,auto_handle,songs from playlist are skipping or being interrupted; needs device and Spotify version details for troubleshooting,hard
gs_0020,2349648,". @115888 just started skipping like it was a scratched CD while listening to some 90s tunes. Really nice design touch, folks. Extra points for authenticity.",2349646.0,"@679162 Hey there! That doesn't sound good. Can you let us know the device, operating system, and app version you're using? /PB",recovered,playback_issue,easy,True,playback_issue,playback_issue,False,auto_handle,"songs are skipping like a scratched CD; needs device, OS, and app version details for troubleshooting",hard
gs_0021,1345779,"@SpotifyCares Hey, whats up with the webplayer recently? It just stops playing or doesn't even play to begin with? Used to work so great!",1345778.0,@433807 Hey Katie! Help's here. Try clearing your browser's cache/cookies and refreshing. Did it do the trick? /MU,recovered,playback_issue,easy,True,playback_issue,playback_issue,True,auto_handle,web player stops playing or fails to start; clearing browser cache and cookies is a standard troubleshooting step,hard
gs_0022,2442036,Hey @115888 is there a reason the app has been freezing and restarting songs on my phone the last few weeks?,2442034.0,"@647571 Hey there! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /LO",recovered,playback_issue,easy,True,playback_issue,playback_issue,False,auto_handle,"app freezes and restarts songs during playback on phone; needs device, OS, and Spotify version details for troubleshooting",hard
gs_0023,1505050,"@SpotifyCares Well there are some songs in my playlists it just randomly skips, I can’t recognise a particular pattern there. I haven’t tried restarting.",1505052.0,"@469298 Hmm. Could you try restarting your device? If that doesn't work, can you DM us your account's email address? We'll check things out /AK https://t.co/ldFdZRiNAt",original,playback_issue,easy,False,playback_issue,playback_issue,False,auto_handle,"songs randomly skip during playback; restarting the device is a standard troubleshooting step, with account investigation as a fallback",hard
gs_0024,2251340,"@SpotifyCares No messages, just the bad crackling and popping, tried downloading and streaming, also cleared cache",2251339.0,@655860 Thanks. Can you let us know the exact Spotify version you're running on your PC? Just click on Help &gt; About Spotify /NG,original,playback_issue,hard,True,playback_issue,playback_issue,False,auto_handle,"crackling and popping during playback; cache clearing and downloading did not resolve it, so the Spotify version is needed for further troubleshooting",hard
gs_0025,1338283,"@SpotifyCares IOS 11.1, spotify stops playing when I operate other apps like twitter and fb (esp scrolling down and liking tweets)",,,original,playback_issue,hard,False,playback_issue,playback_issue,False,auto_handle,Spotify stops playing when using other apps on iOS; needs device and app troubleshooting,hard
gs_0026,2286386,@SpotifyCares - Yr App is killing my business. Keeps crashing/pple complaining/ music keeps stopping. Not happy😢😢😢,2286384.0,"@664365 Hey Janelle! Don't worry, we're here to help. Can you let us know the device, operating system, and Spotify version you're using? /MT",recovered,playback_issue,hard,True,playback_issue,playback_issue,False,auto_handle,"Spotify keeps crashing and stopping music playback; needs device, OS, and Spotify version details for troubleshooting",hard
gs_0027,942819,"@SpotifyCares I have premium but it only let's me skip so many songs before it stops me saying I need premium, which I have.",942818.0,"@343511 Hey Abigail, we're here to help! Could you DM us with your account's username and email address? We'll take a look backstage /TB",recovered,playback_issue,hard,False,playback_issue,premium_billing,False,escalate,premium subscription not being recognized; requires account-specific investigation,hard
gs_0028,1065091,"@SpotifyCares The app keeps crashing after I play a song too. I’m on iPhone 6, ios11 and spotify version 8.4.24, thanks RC",1065092.0,@371468 Got it. Can you also fire over your account's email address or username via DM? We'll take a look backstage /RC https://t.co/ldFdZRiNAt,original,playback_issue,hard,True,playback_issue,app_technical,False,auto_handle,Spotify app crashes after playing a song on iPhone 6; needs account and device-specific troubleshooting,hard
gs_0029,190065,@SpotifyCares song sharing on Android crashes the app every time. Known issue yet?,190064.0,"@160564 Hi Nnamdi! What device (make and model), Android and Spotify version are you using? We'll see what we can suggest /AU",recovered,playback_issue,hard,True,playback_issue,app_technical,False,auto_handle,"Spotify crashes every time when using song sharing on Android; needs device, Android, and Spotify version details for troubleshooting",hard
gs_0030,1200378,"It's skipping at the end. This track is broken @SpotifyCares monochrome by Ayumi Hamasaki
https://t.co/U89YOivS8J",1200377.0,"@402048 Thanks, we'll get this reported. Great detective work! https://t.co/LpsmyUtme0 /LO",recovered,playback_issue,hard,True,playback_issue,playback_issue,True,auto_handle,track skips at the end and appears to be broken; the issue has been reported for investigation,hard
gs_0031,2078388,"@SpotifyCares my app barely even works, random songs skips, horribly repetitive shuffle and full of glitches... i pay for this",2078387.0,"@614704 Hey Bailey! Did these issues happened after a recent update? Also, can you let us know the device and Spotify version you’re using? /SJ",recovered,playback_issue,hard,True,playback_issue,playback_issue,False,auto_handle,"multiple playback issues including random skipping, repetitive shuffle, and glitches; needs device and Spotify version details for troubleshooting",hard
gs_0032,38951,@AppleSupport @SpotifyCares since ios 11 i cant skip songs on bluetooth and i no longer have spotify on my home screen or the swipe up? help,38950.0,"@124503 Hey, sorry for the delay! Can you tell us the exact model of your iPhone along with the Spotify version you're using? We'll help you out /RR",recovered,playback_issue,hard,True,playback_issue,device_platform,False,auto_handle,Spotify controls are not working correctly with Bluetooth on iOS and the app is missing from the home screen; needs iPhone model and Spotify version details,hard
gs_0033,44671,"@SpotifyCares why i cant play my playlist folder on iphone app? You are SPOTIFY,guys do it please!",44669.0,"@121069 Hi there, the cavalry's here! Does logging out, restarting your device, and logging back into Spotify help? Keep us in the loop /JI",recovered,playback_issue,hard,True,playback_issue,playback_issue,True,auto_handle,"playlist folder cannot be played on iPhone; logging out, restarting, and logging back in are standard troubleshooting steps",hard
gs_0034,2866592,"@SpotifyCares I can't sign up for spotify, I keep getting an ""oops"" error. :(",2866591.0,"@796167 Hey there! We're here to help. Just to check, what country are you currently in? /AN",recovered,app_technical,easy,True,app_technical,account_login,False,auto_handle,unable to sign up due to an error; requires country information for account setup troubleshooting,hard
gs_0035,2633310,"@SpotifyCares Could you please fix the band listing for #ThePeaceLife?  There are 2 artists, but they are listed as one.  One has 2 albums and the other has a single called ""green""
#thanks!",2633309.0,@743515 Hey! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. Let us know how it goes /DF,recovered,app_technical,easy,True,app_technical,other,False,auto_handle,artist listing is incorrect and two different artists are being combined; needs the song link to investigate,easy
gs_0036,2848333,"@SpotifyCares Any update? It's still persisting, and it's totally frustrating :( Thanks",,,original,app_technical,easy,False,app_technical,other,False,escalate,artist listing issue is still unresolved and needs further investigation,hard
gs_0037,2042355,Hello @117153 im having trouble with 404 error code. Can you tell me if the service will resume soon? Webplayer is working fine. Thx,2042354.0,"@603934 Hey! Can you send us your account's username or email address via DM? The exact device, OS, and app version you're using would also help /LP https://t.co/ldFdZRiNAt",recovered,app_technical,easy,True,app_technical,app_technical,False,escalate,404 error affecting the app while the web player works; requires account and device-specific investigation,hard
gs_0038,1555480,@117153 some of the artists I followed do not appear in my library/artists column. Is there a way to fix this issue ? Thanks,1555479.0,"@481019 Hi there. Don't worry, help's here. Can you tell us what device, operating system, and exact app version you're using? /JU",recovered,app_technical,easy,True,app_technical,other,False,auto_handle,"followed artists are missing from the library; needs device, OS, and app version details for troubleshooting",hard
gs_0039,1516294,@115888 if you are set to offline mode and get logged out you can never log back in again because the app thinks you're offline. 👍,1516291.0,@471807 Hey Ryan! What device and Spotify version are you using? We'll do our best to help you out /BH,recovered,app_technical,easy,True,app_technical,account_login,False,auto_handle,unable to log back in after being logged out while in offline mode; needs device and Spotify version details for troubleshooting,hard
gs_0040,186183,"@SpotifyCares Sure, it is behaving much better after a device restart.  I'll see if it keeps up. Thanks!",186184.0,@159744 We're glad to hear everything's working now. Give us a shout if it starts misbehaving again; we're always here to help /RC,original,app_technical,easy,True,app_technical,playback_issue,True,auto_handle,playback issue improved after restarting the device; standard troubleshooting resolved the problem,easy
gs_0041,2734593,@SpotifyCares Yeah I get that. So where do I download them with the app on my computer these are the options I have https://t.co/el2ZdaRxhB,2734592.0,@766421 Got it. Here's some handy info about listening to your music offline: https://t.co/WSjJgGAmPy /TF,original,app_technical,easy,True,app_technical,other,True,auto_handle,question about where to download music for offline listening on the computer app; brand provided offline listening information,easy
gs_0042,306687,@SpotifyCares It's a private/home wifi. We can restart the router. Thanks for the insight,306688.0,@189218 No worries. We'll be on the lookout for your update /LO,original,app_technical,easy,False,app_technical,playback_issue,False,auto_handle,playback issue related to the home Wi-Fi connection; restarting the router is a standard troubleshooting step,hard
gs_0043,689556,So grateful to be on @115888 - how do publishers view download stats though @SpotifyCares?,689555.0,"@284774 Hey! This isn't a stat that Spotify currently provides, but we'll let the team know this is something that you'd find useful for the future /J",recovered,app_technical,easy,True,app_technical,other,True,auto_handle,question about download statistics for publishers; Spotify does not currently provide this stat but has passed the feedback to the team,easy
gs_0044,2557520,@117153 I tried deinstalling it and installing it again. You can't even reinstall it. This is total garbage!,2557519.0,@726090 @117153 Hey Andrija! We've sent you a DM. Check it out. We'll continue helping you there /MC,recovered,app_technical,easy,True,app_technical,app_technical,False,auto_handle,Spotify cannot be reinstalled after being uninstalled; requires technical troubleshooting to identify the installation issue,hard
gs_0045,602845,@SpotifyCares when i try to launch it says cannot find 'api-ms-win-core-processthreads-l1-1-2.ddl' please re-install this application. I re-installed and it still displays the error when i launch,602843.0,"@263159 Hi, help's here! Can you let us know your desktop's operating system version? We'll see what we can suggest /DV",recovered,app_technical,easy,True,app_technical,app_technical,False,auto_handle,Spotify fails to launch because of a missing system DLL even after reinstalling; needs OS-specific technical troubleshooting,hard
gs_0046,2322389,"Come on @115888, still waiting for an update for the #iPhoneX 🤷‍♂️",2322388.0,"@672945 Hey Nicolò! We understand - we’re working on it as we speak. Stay tuned. For anything else, let us know /GU",recovered,app_technical,easy,True,app_technical,device_platform,False,escalate,Spotify has not yet released an update for iPhone X; requires the product team to address compatibility,easy
gs_0047,1963829,@SpotifyCares I mean it’s working now after I had to wait a good 20 min but this is an occurrence that happens on my eyefone 7 so fix it por favor ♥️,1963831.0,"@582241 Sorry to hear that. We're glad it's working fine now though! If you ever need us again, we're just a tweet away /RH",original,app_technical,easy,True,app_technical,playback_issue,True,auto_handle,"playback issue eventually resolved after a long wait, but it repeatedly occurs on iPhone 7",hard
gs_0048,2552669,"@SpotifyCares So ""OvO god"" @6860, you gonna help fix the 6 or leave it in shambles??",,,original,app_technical,easy,False,app_technical,playback_issue,False,escalate,recurring playback issue on iPhone 7 that takes a long time to resolve; requires further investigation,hard
gs_0049,1507421,@115888 you should update your new releases page on the hourly. I hate needing to wait untill 9 am of every Friday to see the new releases,1507420.0,"@469872 We hear you loud and clear, Tyler! We can’t make any promises but we’ll pass your feedback onto the right folks /K",recovered,app_technical,easy,True,app_technical,other,True,escalate,feature request to update the new releases page more frequently; brand has passed the feedback to the appropriate team,easy
gs_0050,327179,@117153 @117153 are under the wrong name (Noun) on Spotify. Can you please fix it up as soon as possible? Thank you.,327178.0,@193976 @117153 We've just sent you a DM 🙂 /SU,recovered,app_technical,easy,False,app_technical,other,False,escalate,artist is listed under the wrong name; requires the artist metadata to be corrected,easy
gs_0051,488793,"@SpotifyCares One reason: ""Your Spotify app needs updating."" App updates require deleting all offline files? So I should just never update your app?",488795.0,"@231397 If you do need to update Spotify, we recommend connecting to WiFi /I",original,app_technical,easy,False,app_technical,app_technical,False,auto_handle,app update requires deleting offline files; needs technical guidance about preserving offline downloads during updates,hard
gs_0052,2584517,"Hey @115888, why don’t you have more N-Dubz songs? Please fix this, cheers!",2584515.0,"@732388 Hey! It all boils down to licensing agreements, but there's info about Spotify content here: https://t.co/0i8GpimuDa /RB",recovered,app_technical,easy,True,app_technical,other,True,auto_handle,question/request about missing N-Dubz songs due to licensing; brand provided information about Spotify content,easy
gs_0053,797687,"@SpotifyCares Google Pixel XL, ever since the last update the app force closes when I click share. I've reinstalled and everything already.",797686.0,"@310181 Hey! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /CP",recovered,app_technical,easy,True,app_technical,app_technical,False,escalate,Spotify force closes when using the share function even after reinstalling; developers are already investigating the issue,hard
gs_0054,554162,@115888  Y'all desperately need an update - Im constantly quitting/reopening ur application in order to navigate without the wheel of doom.,554163.0,"@249302 Hey Rosie! Can you tell us more about the issue? Also, what device, OS, and Spotify version are you using? We'll see what we can suggest /NS",recovered,app_technical,easy,True,app_technical,app_technical,False,auto_handle,"app becomes unresponsive and shows the spinning wheel; repeatedly reopening the app is needed, so device, OS, and Spotify version details are needed for troubleshooting",hard
gs_0055,560020,"@SpotifyCares the album art is missing on the newest update, help!",560019.0,"@250967 Hi there. Can you let us know what device, operating system, and Spotify version you're running? We'll see what we can suggest /LM",recovered,app_technical,hard,True,app_technical,app_technical,False,auto_handle,"album art is missing after the newest update; needs device, OS, and Spotify version details for troubleshooting",hard
gs_0056,575698,"@115888 why does your Android app randomly un-download songs, it's really frustrating https://t.co/iaRvnM8R8d",575697.0,@255466 Hi! Sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at https://t.co/EidIERWgLX. They should help with this /DR,recovered,app_technical,hard,True,app_technical,playback_issue,True,auto_handle,downloaded songs are randomly being removed; the brand provided specific troubleshooting steps for unexpected downloads removal,hard
gs_0057,2397299,@SpotifyCares Any ideas why I can’t listen to Spotify through the Bluetooth in my car after the update?,2397297.0,"@689952 Hi Courtney! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /GK",recovered,app_technical,hard,True,app_technical,device_platform,False,auto_handle,"Spotify no longer works through car Bluetooth after an update; needs device, OS, and Spotify version details for troubleshooting",hard
gs_0058,1794140,"@SpotifyCares Hey, I can't play any @124708 songs today? I get an error ""This song is not available"" Have they been pulled from the UK?",1794139.0,"@539150 Hi Cliff, that doesn't sound good. Could you send over your account's username or email address? We'll take a look backstage /JO https://t.co/ldFdZRiNAt",recovered,app_technical,hard,True,app_technical,playback_issue,False,escalate,songs are unavailable in the UK; requires account-specific investigation to determine whether the content has been removed or restricted,hard
gs_0059,1528475,"Evidently, @115888 has been silently playing one 4 minute song for the past 6 hours. Lemme guess, it's not a bug it's a feature? https://t.co/3PTA8O5pbx",1528473.0,"@474542 Hi Renee! Can you try clearing your browser's cache/cookies? If that doesn't help, try using an incognito window /RH",recovered,app_technical,hard,True,app_technical,playback_issue,True,auto_handle,playback is stuck on one song; brand provides concrete troubleshooting steps to clear browser cache/cookies and try incognito,hard
gs_0060,374604,"Since the iOS update, I can't even refresh Twitter without my music pausing @SpotifyCares",374603.0,"@204825 Hi there. Don't worry, we'll check out what's going on. First up, can you tell us the exact Spotify app version you have installed? /JU",recovered,app_technical,hard,True,app_technical,playback_issue,False,auto_handle,music pauses when refreshing another app after an iOS update; requires the Spotify app version to investigate,hard
gs_0061,353319,"@SpotifyCares In Google Chrome I suppose it will work. Is there any problem with Firefox 56 (on Ubuntu), or have I broken something? :(",353320.0,"@199992 We'll help you check on this. In the meantime, can you try using Google Chrome? Keep us posted /SJ",original,app_technical,hard,True,app_technical,device_platform,True,auto_handle,Spotify playback compatibility issue with Firefox 56 on Ubuntu; brand suggests trying Google Chrome as a troubleshooting step,hard
gs_0062,2041024,@SpotifyCares Can y’all please fix your shuffle on playlists I create? It’s like I get the same few songs shuffling &amp; need more variety!,2041023.0,@603487 Hey Dan! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: https://t.co/T3vZnSL3od /DQ,recovered,app_technical,hard,True,app_technical,playback_issue,False,escalate,shuffle is repeatedly selecting the same few songs; the brand only points to feedback about shuffle improvements rather than providing troubleshooting,hard
gs_0063,248221,"@SpotifyCares Well, I found the correct song on a different album but that doesn't change the fact this album is broken so you might want to check it. https://t.co/mDDCbOWqHe",,,original,app_technical,hard,False,app_technical,playback_issue,False,escalate,specific album appears to have a broken or unavailable song; no brand troubleshooting or resolution is provided,hard
gs_0064,122096,@115888 our acct has been accessed by someone who shouldn't have access. Wat do?,122095.0,"@143214 Hey Sara, help's here! Can you DM us your account's username and email address? We'll check it out 🔍 /TR https://t.co/ldFdZRiNAt",recovered,account_login,easy,False,account_login,account_login,False,escalate,account appears to have been accessed by an unauthorized person and requires account-security investigation,easy
gs_0065,2565897,@125633 - can you pls advise as to why I can't manage my artists' account. nobody ever gets back to me about verification! https://t.co/wquaB8gpfb,2565896.0,@727939 Hey! We’d recommend reaching out at https://t.co/p1wbtdELHu. Our Artist Support team will do their best to help you with this 🙂 /M,recovered,account_login,easy,True,account_login,account_login,True,escalate,unable to manage an artist account and verification has not been completed; requires account/artist verification support,hard
gs_0066,496126,@SpotifyCares i'm having issues where songs i never played are appearing in my feed. my wife is having the same issue with her own account. what gives?,496125.0,"@233341 Hey Collin, help's here! Can you DM us your account's email address? We'll take a closer look /BE https://t.co/ldFdZRiNAt",recovered,account_login,easy,False,account_login,account_login,False,escalate,"songs the user did not play are appearing in the feed, suggesting possible account activity or account-linking issue requiring investigation",hard
gs_0067,1272291,@SpotifyCares I trying to link with Facebook but saying Facebook account linked with another account,1272290.0,@417822 Hi James! The cavalry's here. Could you DM us your account's email address and Facebook profile link? We'll take a look backstage /AU https://t.co/ldFdZRiNAt,recovered,account_login,easy,False,account_login,account_login,False,auto_handle,Facebook account is already linked to another Spotify account; standard account-linking troubleshooting can address this,easy
gs_0068,2539080,"@SpotifyCares Help! I can’t login with my username and password. There’s a workaround where i use my Facebook account, but i’d like to recover my password. Unfortunately the e-mail address is not active. Can you help me?,",2539079.0,@722105 Hi Raoul! Help's here. Can you DM us your account's username or email address? We'll check things backstage /MU https://t.co/ldFdZRiNAt,recovered,account_login,easy,False,account_login,account_login,False,escalate,user cannot log in or recover the password because the registered email is no longer active; requires account recovery support,hard
gs_0069,2321795,"what is going on with @115888 ? claims to have an issue, but none of the links open in any browsers, so can't check account data or renew card #musicpanic",2321794.0,@672808 2:  update your payment details? Could you DM us your account's username or email address? We'll check things backstage /CP https://t.co/ldFdZRiNAt,recovered,account_login,easy,False,account_login,premium_billing,False,escalate,account data and card renewal cannot be accessed because the relevant links are not opening; requires investigation of account and billing access,hard
gs_0070,1887224,@SpotifyCares hey guys I'm having issues getting my Sister's account into our family. Can I DM to provide the specifics?,1887223.0,"@562864 Hi Todd! We'd like to help you out. To get started, just DM us your sister's email address for her account /NY https://t.co/ldFdZRiNAt",recovered,account_login,easy,False,account_login,premium_billing,False,auto_handle,difficulty adding a sister to a Family subscription is a standard family-plan account issue that can be handled with account details,hard
gs_0071,1227806,@115888 can some1 pls dm me asap. I have been paying my account for 2 months &amp; had no access toit but no1 seems to be able to help! Thanks!,1227805.0,@408049 Hi Danielle! Help's here. Can you DM us your account's email address? We'll take a look backstage /MG https://t.co/ldFdZRiNAt,recovered,account_login,easy,False,account_login,account_login,False,escalate,"user has been paying for an account but cannot access it for two months, requiring account-access investigation",hard
gs_0072,1962227,@SpotifyCares Thanks for the response. Did that yesterday. It worked exactly once. Locked my system up again today.,1962226.0,"@581872 Hmm, that's odd. Does restarting your internet connection help at all? We'd also recommend trying different connections /MT",original,account_login,easy,True,account_login,app_technical,True,escalate,"the previously attempted fix only worked once and the system locked up again, indicating a persistent technical issue",hard
gs_0073,2857447,"@SpotifyCares  I need help with an account I don't know the email address for,",2857446.0,"@794163 Hey Jim! Can you DM us your account's username? If you've created it via Facebook, can you send us your profile link and email address? We'll take a look backstage /SJ https://t.co/ldFdZRiNAt",recovered,account_login,easy,False,account_login,account_login,False,auto_handle,user needs help identifying or accessing an account without knowing its email address,hard
gs_0074,2755872,@SpotifyCares @147836 I am very angry because my daughter has applied for an account when she is not yet 18 years old and did not ask Spotify for permission.,,,original,account_login,easy,False,account_login,account_login,False,escalate,"account was created for someone under 18 without the parent's permission, requiring account and age-related support",hard
gs_0075,2653126,"@SpotifyCares Hey guys! Quick question, would you be able to tell me when my Spotify account was created?",2653125.0,@401404 Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS https://t.co/ldFdZRiNAt,recovered,account_login,easy,False,account_login,account_login,False,auto_handle,user is asking for information about when their account was created,easy
gs_0076,1739232,@SpotifyCares Router restarted. Only able to login if not connected to WiFi. IT dept says “it’s a known Spotify issue” 🙄🤷🏼‍♀️ Works fine on other WiFi’s.,1739233.0,"@524904 Just to confirm, are you using a private or public WiFi network? Also, do you have access to a different network you could try with? /BH",original,account_login,easy,True,account_login,account_login,False,escalate,"login only works when disconnected from one Wi-Fi network and works on others, indicating a network-specific account access issue requiring investigation",hard
gs_0077,2081707,@SpotifyCares someone else is registered with my personal email. Who can help?,2081706.0,"@615623 Hey Brandon, help's here! Do you have your own account? Could you send us a DM with your email address? We'll take a look backstage /CO https://t.co/ldFdZRiNAt",recovered,account_login,easy,False,account_login,account_login,False,escalate,"another person appears to be registered with the user's personal email, requiring account ownership and security investigation",hard
